nom_norm,moyenne_niveau_de_vie,n_obs,nom_commune_postal
la queue les yvelines,31072.21,45,LA QUEUE LES YVELINES
la roche guyon,27351.87,21,LA ROCHE GUYON
la rochette,31231.95,43,LA ROCHETTE
la tombe,24553.17,17,LA TOMBE
la tour du crieu,23315.85,1,LA TOUR DU CRIEU
la tretoire,25416.74,44,LA TRETOIRE
la verriere,25176.52,38,LA VERRIERE
la ville du bois,28750.53,69,LA VILLE DU BOIS
la villeneuve en chevrie,29010.74,44,LA VILLENEUVE EN CHEVRIE
labbeville,30322.27,28,LABBEVILLE
lagny sur marne,28254.63,121,LAGNY SUR MARNE
lainville en vexin,31049.58,34,LAINVILLE EN VEXIN
lanoux,19397.55,13,LANOUX
lapenne,20057.2,33,LAPENNE
larchant,28997.23,40,LARCHANT
lardy,29465.45,86,LARDY
lasserre,18698.7,6,LASSERRE
lassy,29150.51,7,LASSY
laval en brie,26150.97,35,LAVAL EN BRIE
le bellay en vexin,28766.83,7,LE BELLAY EN VEXIN
le blanc mesnil,19514.74,163,LE BLANC MESNIL
le bourget,19116.46,39,LE BOURGET
le chatelet en brie,28111.01,68,LE CHATELET EN BRIE
le chesnay,37280.41,98,LE CHESNAY
le coudray montceaux,29465.09,67,LE COUDRAY MONTCEAUX
le heaulme,29762.79,14,LE HEAULME
le kremlin bicetre,25344.13,35,LE KREMLIN BICETRE
le mas d azil,20102.43,7,LE MAS D AZIL
le mee sur seine,24245.29,98,LE MEE SUR SEINE
le mesnil amelot,24457.21,14,LE MESNIL AMELOT
le mesnil aubry,27813.69,20,LE MESNIL AUBRY
le mesnil le roi,41109.99,58,LE MESNIL LE ROI
le mesnil st denis,33699.87,95,LE MESNIL ST DENIS
le pecq,36179.52,62,LE PECQ
le perchay,30888.38,13,LE PERCHAY
le perray en yvelines,31154.19,122,LE PERRAY EN YVELINES
le perreux sur marne,32396.65,99,LE PERREUX SUR MARNE
le pin,28486.86,26,LE PIN
le plessis aux bois,26171.92,8,LE PLESSIS AUX BOIS
le plessis bouchard,29856.09,45,LE PLESSIS BOUCHARD
le plessis feu aussoux,28801.7,20,LE PLESSIS FEU AUSSOUX
le plessis gassot,27354.94,6,LE PLESSIS GASSOT
le plessis l eveque,27463.66,9,LE PLESSIS L EVEQUE
le plessis luzarches,28154.31,9,LE PLESSIS LUZARCHES
le plessis pate,29604.11,35,LE PLESSIS PATE
le plessis placy,25322.07,14,LE PLESSIS PLACY
le plessis robinson,34315.27,68,LE PLESSIS ROBINSON
le plessis trevise,30380.15,87,LE PLESSIS TREVISE
le port marly,31185.7,28,LE PORT MARLY
le pre st gervais,22291.0,18,LE PRE ST GERVAIS
le raincy,28683.73,55,LE RAINCY
le tartre gaudran,26867.32,11,LE TARTRE GAUDRAN
le tertre st denis,30968.45,9,LE TERTRE ST DENIS
le thillay,21693.48,44,LE THILLAY
le tremblay sur mauldre,33285.1,30,LE TREMBLAY SUR MAULDRE
le val st germain,31256.31,64,LE VAL ST GERMAIN
le vaudoue,28711.28,49,LE VAUDOUE
le vesinet,46862.49,122,LE VESINET
lechelle,24814.56,41,LECHELLE
les alluets le roi,37654.65,32,LES ALLUETS LE ROI
les breviaires,33565.18,62,LES BREVIAIRES
les chapelles bourbon,29839.0,17,LES CHAPELLES BOURBON
les clayes sous bois,30833.58,84,LES CLAYES SOUS BOIS
les ecrennes,27631.78,27,LES ECRENNES
les essarts le roi,32087.88,119,LES ESSARTS LE ROI
les granges le roi,28469.17,31,LES GRANGES LE ROI
les lilas,25356.36,27,LES LILAS
les loges en josas,42836.15,34,LES LOGES EN JOSAS
les marets,26550.02,12,LES MARETS
les mesnuls,38199.37,62,LES MESNULS
les molieres,35804.1,43,LES MOLIERES
les mureaux,21772.63,154,LES MUREAUX
les ormes sur voulzie,24408.22,40,LES ORMES SUR VOULZIE
les pavillons sous bois,22881.97,71,LES PAVILLONS SOUS BOIS
les ulis,24665.75,60,LES ULIS
lescherolles,25511.01,28,LESCHEROLLES
lesches,28949.22,27,LESCHES
lescousse,21156.71,24,LESCOUSSE
lesigny,33263.01,96,LESIGNY
leudeville,30920.97,33,LEUDEVILLE
leudon en brie,26582.45,11,LEUDON EN BRIE
leuville sur orge,27432.5,50,LEUVILLE SUR ORGE
levallois perret,37978.53,56,LEVALLOIS PERRET
levis st nom,35705.58,56,LEVIS ST NOM
lezat sur leze,22481.15,166,LEZAT SUR LEZE
lieusaint,24152.67,73,LIEUSAINT
limay,24019.61,130,LIMAY
limeil brevannes,24030.77,104,LIMEIL BREVANNES
limetz villez,26114.26,60,LIMETZ VILLEZ
limoges fourches,28418.44,22,LIMOGES FOURCHES
limours,31356.26,107,LIMOURS
linas,25938.04,96,LINAS
lisses,27457.65,76,LISSES
lissy,29197.87,12,LISSY
liverdy en brie,29999.67,41,LIVERDY EN BRIE
livilliers,31136.21,17,LIVILLIERS
livry gargan,22386.07,157,LIVRY GARGAN
livry sur seine,29704.08,36,LIVRY SUR SEINE
lizines,24152.04,10,LIZINES
lizy sur ourcq,22723.74,49,LIZY SUR OURCQ
lognes,23703.83,49,LOGNES
lommoye,27841.53,45,LOMMOYE
longjumeau,28174.85,95,LONGJUMEAU
longnes,29066.12,67,LONGNES
longperrier,25221.61,38,LONGPERRIER
longpont sur orge,27421.16,91,LONGPONT SUR ORGE
longuesse,30295.67,16,LONGUESSE
longueville,22031.75,46,LONGUEVILLE
longvilliers,37431.07,31,LONGVILLIERS
lorrez le bocage preaux,25592.88,75,LORREZ LE BOCAGE PREAUX
louan villegruis fontaine,23840.46,38,LOUAN VILLEGRUIS FONTAINE
louveciennes,38543.98,79,LOUVECIENNES
louvres,24811.07,74,LOUVRES
luisetaines,23593.63,15,LUISETAINES
lumigny nesles ormeaux,26848.24,83,LUMIGNY NESLES ORMEAUX
luzancy,25034.88,40,LUZANCY
luzarches,29437.15,103,LUZARCHES
machault,28535.86,27,MACHAULT
madiere,20550.23,36,MADIERE
maffliers,27489.25,33,MAFFLIERS
magnanville,26090.0,51,MAGNANVILLE
magny en vexin,25835.23,82,MAGNY EN VEXIN
magny le hongre,32413.1,64,MAGNY LE HONGRE
magny les hameaux,36083.98,99,MAGNY LES HAMEAUX
maincy,29424.2,50,MAINCY
maison rouge,25207.03,41,MAISON ROUGE
maisoncelles en brie,29163.08,28,MAISONCELLES EN BRIE
maisoncelles en gatinais,23018.04,9,MAISONCELLES EN GATINAIS
maisons alfort,28935.5,129,MAISONS ALFORT
maisons laffitte,40494.96,143,MAISONS LAFFITTE
maisse,24731.04,74,MAISSE
malakoff,29394.97,51,MALAKOFF
mandres les roses,29519.75,62,MANDRES LES ROSES
mantes la jolie,21117.65,134,MANTES LA JOLIE
mantes la ville,23534.85,129,MANTES LA VILLE
marchemoret,25892.05,11,MARCHEMORET
marcilly,26238.23,12,MARCILLY
marcoussis,29349.55,141,MARCOUSSIS
marcq,34314.77,26,MARCQ
mareil en france,28855.45,18,MAREIL EN FRANCE
mareil le guyon,35167.42,20,MAREIL LE GUYON
mareil marly,40942.41,45,MAREIL MARLY
mareil sur mauldre,35241.43,54,MAREIL SUR MAULDRE
mareuil les meaux,26988.49,56,MAREUIL LES MEAUX
margency,31256.89,18,MARGENCY
marines,28980.67,54,MARINES
marles en brie,26436.67,48,MARLES EN BRIE
marly la ville,26421.9,60,MARLY LA VILLE
marly le roi,37586.57,87,MARLY LE ROI
marnes la coquette,45672.98,30,MARNES LA COQUETTE
marolles en beauce,28918.91,10,MAROLLES EN BEAUCE
marolles en brie,29947.9,91,MAROLLES EN BRIE
marolles en hurepoix,29701.29,70,MAROLLES EN HUREPOIX
marolles sur seine,24823.35,45,MAROLLES SUR SEINE
mary sur marne,25939.9,21,MARY SUR MARNE
massy,27663.84,135,MASSY
mauchamps,31820.69,10,MAUCHAMPS
maudetour en vexin,30992.51,9,MAUDETOUR EN VEXIN
maule,33782.71,125,MAULE
maulette,30151.31,44,MAULETTE
mauperthuis,26738.59,23,MAUPERTHUIS
maurecourt,32294.03,43,MAURECOURT
mauregard,25182.66,7,MAUREGARD
maurepas,31835.01,120,MAUREPAS
mauvezin de ste croix,21127.76,12,MAUVEZIN DE STE CROIX
may en multien,25356.83,29,MAY EN MULTIEN
meaux,23679.61,243,MEAUX
medan,37103.98,33,MEDAN
meigneux,26599.46,11,MEIGNEUX
meilleray,23071.64,31,MEILLERAY
melun,22850.55,159,MELUN
melz sur seine,24545.81,22,MELZ SUR SEINE
menerville,27680.86,15,MENERVILLE
mennecy,30541.1,143,MENNECY
menouville,27458.58,5,MENOUVILLE
menucourt,27388.64,37,MENUCOURT
mercenac,20089.17,2,MERCENAC
mere,34670.03,62,MERE
mereville,26181.88,112,MEREVILLE
mericourt,25704.76,22,MERICOURT
meriel,28702.51,60,MERIEL
merigon,17527.98,17,MERIGON
merobert,25432.66,21,MEROBERT
mery sur marne,25721.48,39,MERY SUR MARNE
mery sur oise,27175.12,106,MERY SUR OISE
mespuits,27809.03,11,MESPUITS
messy,29904.39,20,MESSY
meudon,38038.94,123,MEUDON
meulan en yvelines,26292.08,64,MEULAN EN YVELINES
mezieres sur seine,29042.43,61,MEZIERES SUR SEINE
mezy sur seine,30113.2,46,MEZY SUR SEINE
millemont,34244.02,8,MILLEMONT
milly la foret,29119.02,114,MILLY LA FORET
milon la chapelle,42342.61,33,MILON LA CHAPELLE
mirepoix,20468.21,10,MIREPOIX
misy sur yonne,24237.57,38,MISY SUR YONNE
mitry mory,23514.34,138,MITRY MORY
mittainville,30602.21,52,MITTAINVILLE
moigny sur ecole,28903.43,50,MOIGNY SUR ECOLE
moisenay,29490.27,36,MOISENAY
moisselles,27537.01,11,MOISSELLES
moisson,28953.83,48,MOISSON
moissy cramayel,24433.84,94,MOISSY CRAMAYEL
mondeville,29431.68,32,MONDEVILLE
mondreville,26334.09,42,MONDREVILLE
monesple,17921.03,3,MONESPLE
monnerville,25373.18,16,MONNERVILLE
mons en montois,24963.36,21,MONS EN MONTOIS
montainville,34182.78,27,MONTAINVILLE
montalet le bois,33054.33,17,MONTALET LE BOIS
montardit,22510.0,10,MONTARDIT
montaut,24025.71,30,MONTAUT
montceaux les meaux,30528.38,24,MONTCEAUX LES MEAUX
montceaux les provins,24661.64,26,MONTCEAUX LES PROVINS
montchauvet,34011.41,17,MONTCHAUVET
montcourt fromonville,27435.34,44,MONTCOURT FROMONVILLE
montdauphin,22271.45,24,MONTDAUPHIN
montenils,24361.5,6,MONTENILS
montereau fault yonne,19488.58,131,MONTEREAU FAULT YONNE
montereau sur le jard,29157.85,18,MONTEREAU SUR LE JARD
montesson,34632.23,95,MONTESSON
montevrain,29307.04,92,MONTEVRAIN
montfa,15327.65,20,MONTFA
montfermeil,22454.78,130,MONTFERMEIL
montfort l amaury,39211.5,71,MONTFORT L AMAURY
montge en goele,30154.31,25,MONTGE EN GOELE
montgeron,28648.52,154,MONTGERON
montgeroult,32263.92,15,MONTGEROULT
monthyon,25651.74,34,MONTHYON
montigny le bretonneux,33172.94,137,MONTIGNY LE BRETONNEUX
montigny le guesdier,24924.02,19,MONTIGNY LE GUESDIER
montigny lencoup,25150.11,56,MONTIGNY LENCOUP
montigny les cormeilles,25004.28,95,MONTIGNY LES CORMEILLES
montigny sur loing,30750.71,97,MONTIGNY SUR LOING
montlhery,29067.99,80,MONTLHERY
montlignon,33397.22,40,MONTLIGNON
montmachoux,25287.2,10,MONTMACHOUX
montmagny,23385.34,64,MONTMAGNY
montmorency,30992.16,124,MONTMORENCY
montolivet,24906.98,30,MONTOLIVET
montreuil,22966.04,208,MONTREUIL
montreuil sur epte,26058.78,28,MONTREUIL SUR EPTE
montrouge,31991.81,51,MONTROUGE
montry,28354.32,54,MONTRY
montsoult,29363.69,36,MONTSOULT
morainvilliers,36716.23,59,MORAINVILLIERS
morangis,27566.05,89,MORANGIS
moret loing et orvanne,26870.87,231,MORET LOING ET ORVANNE
morigny champigny,28884.6,100,MORIGNY CHAMPIGNY
mormant,25203.14,60,MORMANT
morsang sur orge,26765.78,108,MORSANG SUR ORGE
morsang sur seine,36092.37,41,MORSANG SUR SEINE
mortcerf,29074.53,37,MORTCERF
mortery,27171.57,16,MORTERY
mouroux,25028.92,144,MOUROUX
mours,27302.68,21,MOURS
mousseaux les bray,23034.63,22,MOUSSEAUX LES BRAY
mousseaux sur seine,29353.57,33,MOUSSEAUX SUR SEINE
moussy,26902.88,3,MOUSSY
moussy le neuf,28250.57,44,MOUSSY LE NEUF
moussy le vieux,27689.83,14,MOUSSY LE VIEUX
mouy sur seine,23831.01,33,MOUY SUR SEINE
mulcent,32559.73,9,MULCENT
nainville les roches,28734.81,18,NAINVILLE LES ROCHES
nandy,27816.6,63,NANDY
nangis,22547.33,88,NANGIS
nanteau sur essonne,28593.75,41,NANTEAU SUR ESSONNE
nanteau sur lunain,27466.25,43,NANTEAU SUR LUNAIN
nanterre,26550.73,227,NANTERRE
nanteuil les meaux,27016.13,90,NANTEUIL LES MEAUX
nanteuil sur marne,23087.08,12,NANTEUIL SUR MARNE
nantouillet,28566.47,9,NANTOUILLET
neauphle le chateau,34668.59,48,NEAUPHLE LE CHATEAU
neauphle le vieux,36822.37,22,NEAUPHLE LE VIEUX
neauphlette,29426.59,40,NEAUPHLETTE
nemours,22839.05,108,NEMOURS
nerville la foret,27186.12,22,NERVILLE LA FORET
nesles la vallee,31710.3,82,NESLES LA VALLEE
neufmoutiers en brie,28101.89,38,NEUFMOUTIERS EN BRIE
neuilly en vexin,26952.59,7,NEUILLY EN VEXIN
neuilly plaisance,27164.78,80,NEUILLY PLAISANCE
neuilly sur marne,23244.53,105,NEUILLY SUR MARNE
neuilly sur seine,47347.82,92,NEUILLY SUR SEINE
neuville sur oise,31703.75,43,NEUVILLE SUR OISE
nezel,28833.39,25,NEZEL
nogent sur marne,34726.91,72,NOGENT SUR MARNE
nointel,27837.9,21,NOINTEL
noiseau,30244.32,39,NOISEAU
noisiel,24876.51,57,NOISIEL
noisy le grand,26353.89,231,NOISY LE GRAND
noisy le roi,40136.44,59,NOISY LE ROI
noisy le sec,20612.5,101,NOISY LE SEC
noisy rudignon,26592.36,16,NOISY RUDIGNON
noisy sur ecole,33032.19,142,NOISY SUR ECOLE
noisy sur oise,26775.81,24,NOISY SUR OISE
nonville,27869.77,52,NONVILLE
noyen sur seine,23883.89,33,NOYEN SUR SEINE
nozay,30140.65,67,NOZAY
nucourt,28551.79,29,NUCOURT
obsonville,22945.69,6,OBSONVILLE
ocquerre,24154.26,14,OCQUERRE
oinville sur montcient,31031.88,37,OINVILLE SUR MONTCIENT
oissery,27656.34,46,OISSERY
ollainville,27089.49,84,OLLAINVILLE
omerville,26319.11,19,OMERVILLE
oncy sur ecole,29914.54,39,ONCY SUR ECOLE
orcemont,31204.57,39,ORCEMONT
orgerus,30921.6,97,ORGERUS
orgeval,39070.87,132,ORGEVAL
orly,23295.93,80,ORLY
orly sur morin,24727.99,35,ORLY SUR MORIN
ormesson,29253.84,13,ORMESSON
ormesson sur marne,30959.14,68,ORMESSON SUR MARNE
ormoy,25619.36,28,ORMOY
ormoy la riviere,29529.05,48,ORMOY LA RIVIERE
orphin,31780.96,46,ORPHIN
orsay,33670.31,125,ORSAY
orsonville,27080.89,15,ORSONVILLE
orveau,29301.45,16,ORVEAU
orvilliers,25378.54,35,ORVILLIERS
osmoy,31009.33,21,OSMOY
osny,27697.02,142,OSNY
othis,27901.34,73,OTHIS
ozoir la ferriere,29240.86,161,OZOIR LA FERRIERE
ozouer le voulgis,27365.49,46,OZOUER LE VOULGIS
pailhes,18971.57,52,PAILHES
palaiseau,31532.15,184,PALAISEAU
paley,27512.37,64,PALEY
pamfou,26675.97,34,PAMFOU
pamiers,22480.52,303,PAMIERS
pantin,20785.34,86,PANTIN
paray douaville,30199.86,15,PARAY DOUAVILLE
paray vieille poste,25727.97,42,PARAY VIEILLE POSTE
paris 01,43924.85,35,PARIS 01
paris 02,39936.54,25,PARIS 02
paris 03,39692.16,31,PARIS 03
paris 04,40678.84,38,PARIS 04
paris 05,39631.77,57,PARIS 05
paris 06,48004.09,52,PARIS 06
paris 07,51090.29,94,PARIS 07
paris 08,46465.69,87,PARIS 08
paris 09,41982.8,52,PARIS 09
paris 10,32951.61,70,PARIS 10
paris 11,33431.91,89,PARIS 11
paris 12,34308.61,172,PARIS 12
paris 13,29564.53,153,PARIS 13
paris 14,35759.41,132,PARIS 14
paris 15,36331.62,181,PARIS 15
paris 16,45662.86,214,PARIS 16
paris 17,38343.83,137,PARIS 17
paris 18,27244.48,133,PARIS 18
paris 19,25739.12,145,PARIS 19
paris 20,26716.91,139,PARIS 20
parmain,30923.67,104,PARMAIN
paroy,23987.5,12,PAROY
passy sur seine,25819.5,6,PASSY SUR SEINE
pecqueuse,33170.21,23,PECQUEUSE
pecy,27586.65,43,PECY
penchard,26622.62,23,PENCHARD
perdreauville,29802.96,42,PERDREAUVILLE
perigny,28810.56,32,PERIGNY
persan,20580.84,70,PERSAN
perthes,28919.84,77,PERTHES
pezarches,26562.32,21,PEZARCHES
pierre levee,26859.67,26,PIERRE LEVEE
pierrefitte sur seine,17883.44,86,PIERREFITTE SUR SEINE
pierrelaye,24571.66,83,PIERRELAYE
piscop,28392.16,29,PISCOP
plaisir,32148.74,201,PLAISIR
plessis st benoist,25779.45,14,PLESSIS ST BENOIST
poigny,24292.89,30,POIGNY
poigny la foret,35307.0,72,POIGNY LA FORET
poincy,26667.96,38,POINCY
poissy,29360.78,144,POISSY
poligny,26270.37,57,POLIGNY
pommeuse,25873.74,119,POMMEUSE
pomponne,32269.49,56,POMPONNE
pontault combault,26482.72,178,PONTAULT COMBAULT
pontcarre,28936.03,26,PONTCARRE
ponthevrard,29687.54,18,PONTHEVRARD
pontoise,25904.66,148,PONTOISE
porcheville,25969.19,49,PORCHEVILLE
precy sur marne,28521.94,16,PRECY SUR MARNE
presles,30013.53,77,PRESLES
presles en brie,28745.13,61,PRESLES EN BRIE
pringy,28185.05,52,PRINGY
provins,24062.51,130,PROVINS
prunay en yvelines,30701.53,51,PRUNAY EN YVELINES
prunay le temple,30057.76,22,PRUNAY LE TEMPLE
prunay sur essonne,28949.66,14,PRUNAY SUR ESSONNE
puiselet le marais,31148.92,19,PUISELET LE MARAIS
puiseux en france,26788.53,27,PUISEUX EN FRANCE
puiseux pontoise,29364.13,16,PUISEUX PONTOISE
puisieux,26610.85,15,PUISIEUX
pussay,23880.75,39,PUSSAY
puteaux,32883.86,60,PUTEAUX
quiers,25918.52,22,QUIERS
quincy sous senart,25872.67,57,QUINCY SOUS SENART
quincy voisins,27448.46,85,QUINCY VOISINS
raizeux,32308.05,53,RAIZEUX
rambouillet,31592.86,217,RAMBOUILLET
rampillon,26276.48,54,RAMPILLON
reau,25658.26,27,REAU
rebais,23941.06,57,REBAIS
recloses,30795.78,34,RECLOSES
remauville,25280.94,22,REMAUVILLE
rennemoulin,42043.91,7,RENNEMOULIN
reuil en brie,25973.57,39,REUIL EN BRIE
richarville,28239.59,18,RICHARVILLE
richebourg,32662.04,46,RICHEBOURG
ris orangis,23314.43,109,RIS ORANGIS
rochefort en yvelines,38289.58,42,ROCHEFORT EN YVELINES
roinville,30467.73,49,ROINVILLE
roinvilliers,28677.33,8,ROINVILLIERS
roissy en brie,26161.54,116,ROISSY EN BRIE
roissy en france,26201.84,21,ROISSY EN FRANCE
rolleboise,26417.46,17,ROLLEBOISE
romainville,22388.84,69,ROMAINVILLE
ronquerolles,30240.0,41,RONQUEROLLES
rosay,29133.37,31,ROSAY
rosny sous bois,23271.3,125,ROSNY SOUS BOIS
rosny sur seine,24129.77,88,ROSNY SUR SEINE
rouilly,23202.03,22,ROUILLY
rouvres,28013.92,14,ROUVRES
rozay en brie,25995.06,42,ROZAY EN BRIE
rubelles,28135.39,36,RUBELLES
rueil malmaison,41640.95,281,RUEIL MALMAISON
rumont,27906.18,9,RUMONT
rungis,31660.7,33,RUNGIS
rupereux,25421.28,12,RUPEREUX
saacy sur marne,23358.97,71,SAACY SUR MARNE
sabarat,21429.33,36,SABARAT
sablonnieres,25010.59,62,SABLONNIERES
saclas,26873.64,76,SACLAS
saclay,33712.27,47,SACLAY
sagy,28753.13,44,SAGY
sailly,24257.21,18,SAILLY
saintry sur seine,28599.5,59,SAINTRY SUR SEINE
saints,27504.23,136,SAINTS
salins,25168.45,45,SALINS
sammeron,26931.66,31,SAMMERON
samois sur seine,32075.13,66,SAMOIS SUR SEINE
samoreau,29145.06,47,SAMOREAU
sancy,27745.04,14,SANCY
sancy les provins,25343.54,30,SANCY LES PROVINS
sannois,26768.09,103,SANNOIS
santeny,34627.89,79,SANTENY
santeuil,31661.06,22,SANTEUIL
sarcelles,20090.51,161,SARCELLES
sartrouville,28653.62,194,SARTROUVILLE
saulx les chartreux,29176.08,91,SAULX LES CHARTREUX
saulx marchais,29379.93,13,SAULX MARCHAIS
savigny le temple,24458.16,160,SAVIGNY LE TEMPLE
savigny sur orge,28026.36,164,SAVIGNY SUR ORGE
savins,24129.69,29,SAVINS
sceaux,42927.65,69,SCEAUX
seine port,33560.74,63,SEINE PORT
senlisse,37376.82,32,SENLISSE
sept sorts,25745.07,21,SEPT SORTS
septeuil,29224.59,84,SEPTEUIL
seraincourt,30526.08,59,SERAINCOURT
sermaise,30051.6,72,SERMAISE
serris,27019.59,44,SERRIS
servon,30160.02,55,SERVON
seugy,30246.39,22,SEUGY
sevran,19755.06,145,SEVRAN
sevres,41055.37,80,SEVRES
signy signets,26423.82,34,SIGNY SIGNETS
sigy,24381.72,8,SIGY
sivry courtry,29050.58,39,SIVRY COURTRY
sognolles en montois,24205.77,16,SOGNOLLES EN MONTOIS
soignolles en brie,28246.95,65,SOIGNOLLES EN BRIE
soindres,30223.05,21,SOINDRES
soisy bouy,24727.5,32,SOISY BOUY
soisy sous montmorency,29714.48,94,SOISY SOUS MONTMORENCY
soisy sur ecole,27902.43,61,SOISY SUR ECOLE
soisy sur seine,34123.86,82,SOISY SUR SEINE
solers,27253.83,28,SOLERS
sonchamp,31831.86,102,SONCHAMP
souppes sur loing,22660.55,167,SOUPPES SUR LOING
sourdun,24210.17,40,SOURDUN
souzy la briche,31540.82,19,SOUZY LA BRICHE
st amans,20487.23,3,ST AMANS
st arnoult en yvelines,32686.17,103,ST ARNOULT EN YVELINES
st aubin,37831.29,21,ST AUBIN
st augustin,27574.77,108,ST AUGUSTIN
st barthelemy,23285.94,36,ST BARTHELEMY
st brice,26140.89,41,ST BRICE
st brice sous foret,26703.75,80,ST BRICE SOUS FORET
st cheron,28604.86,95,ST CHERON
st clair sur epte,24953.32,30,ST CLAIR SUR EPTE
st cloud,44070.66,106,ST CLOUD
st cyr en arthies,29479.81,15,ST CYR EN ARTHIES
st cyr l ecole,30056.64,77,ST CYR L ECOLE
st cyr la riviere,28654.48,39,ST CYR LA RIVIERE
st cyr sous dourdan,31039.77,51,ST CYR SOUS DOURDAN
st cyr sur morin,25782.08,114,ST CYR SUR MORIN
st denis,18563.67,220,ST DENIS
st denis les rebais,26313.2,78,ST DENIS LES REBAIS
st escobille,26743.21,25,ST ESCOBILLE
st fargeau ponthierry,29123.5,192,ST FARGEAU PONTHIERRY
st felix de tournegat,18962.53,16,ST FELIX DE TOURNEGAT
st fiacre,28639.44,14,ST FIACRE
st forget,41491.93,33,ST FORGET
st germain de la grange,35477.78,36,ST GERMAIN DE LA GRANGE
st germain en laye,37591.45,232,ST GERMAIN EN LAYE
st germain laval,24462.87,64,ST GERMAIN LAVAL
st germain laxis,28720.8,17,ST GERMAIN LAXIS
st germain les arpajon,25961.48,107,ST GERMAIN LES ARPAJON
st germain les corbeil,31958.76,74,ST GERMAIN LES CORBEIL
st germain sous doue,26537.01,31,ST GERMAIN SOUS DOUE
st germain sur ecole,27727.28,15,ST GERMAIN SUR ECOLE
st germain sur morin,27812.97,59,ST GERMAIN SUR MORIN
st gervais,29323.33,38,ST GERVAIS
st gratien,28422.77,64,ST GRATIEN
st hilaire,29419.57,25,ST HILAIRE
st hilarion,31138.84,71,ST HILARION
st hilliers,23710.53,31,ST HILLIERS
st illiers la ville,29365.32,26,ST ILLIERS LA VILLE
st illiers le bois,29904.32,17,ST ILLIERS LE BOIS
st jean de beauregard,29215.01,16,ST JEAN DE BEAUREGARD
st jean les deux jumeaux,26751.89,49,ST JEAN LES DEUX JUMEAUX
st just en brie,26770.0,19,ST JUST EN BRIE
st lambert,42503.46,27,ST LAMBERT
st leger,26077.27,20,ST LEGER
st leger en yvelines,32894.26,80,ST LEGER EN YVELINES
st leu la foret,30390.28,89,ST LEU LA FORET
st loup de naud,25701.56,36,ST LOUP DE NAUD
st mammes,24629.56,47,ST MAMMES
st mande,34326.55,25,ST MANDE
st mard,27518.39,52,ST MARD
st mars vieux maisons,25468.96,31,ST MARS VIEUX MAISONS
st martin d oydes,24403.99,12,ST MARTIN D OYDES
st martin de brethencourt,28718.37,41,ST MARTIN DE BRETHENCOURT
st martin des champs,27295.0,65,ST MARTIN DES CHAMPS
st martin du boschet,24047.08,33,ST MARTIN DU BOSCHET
st martin du tertre,25839.79,36,ST MARTIN DU TERTRE
st martin en biere,31073.49,45,ST MARTIN EN BIERE
st martin la garenne,30590.23,46,ST MARTIN LA GARENNE
st maur des fosses,33951.15,283,ST MAUR DES FOSSES
st maurice,31457.08,33,ST MAURICE
st maurice montcouronne,33059.06,55,ST MAURICE MONTCOURONNE
st mery,28936.3,18,ST MERY
st mesmes,31228.92,17,ST MESMES
st michel,20145.34,15,ST MICHEL
st michel sur orge,25543.17,96,ST MICHEL SUR ORGE
st nom la breteche,44753.04,111,ST NOM LA BRETECHE
st ouen,21313.35,84,ST OUEN
st ouen en brie,25360.54,21,ST OUEN EN BRIE
st ouen l aumone,24663.49,138,ST OUEN L AUMONE
st ouen sur morin,25784.62,30,ST OUEN SUR MORIN
st pathus,27077.25,69,ST PATHUS
st pierre du perray,28093.0,98,ST PIERRE DU PERRAY
st pierre les nemours,26176.16,129,ST PIERRE LES NEMOURS
st prix,33141.97,81,ST PRIX
st quirc,22126.76,18,ST QUIRC
st remy l honore,37368.64,86,ST REMY L HONORE
st remy la vanne,25044.75,67,ST REMY LA VANNE
st remy les chevreuse,36807.88,121,ST REMY LES CHEVREUSE
st sauveur les bray,25872.52,29,ST SAUVEUR LES BRAY
st sauveur sur ecole,32480.17,38,ST SAUVEUR SUR ECOLE
st simeon,26943.84,75,ST SIMEON
st soupplets,25043.44,42,ST SOUPPLETS
st sulpice de favieres,33802.34,21,ST SULPICE DE FAVIERES
st thibault des vignes,29395.31,58,ST THIBAULT DES VIGNES
st vrain,30424.22,62,ST VRAIN
st witz,34773.1,40,ST WITZ
st ybars,22720.91,3,ST YBARS
st yon,30114.54,36,ST YON
stains,17648.91,100,STAINS
ste aulde,26727.48,50,STE AULDE
ste colombe,23431.96,49,STE COLOMBE
ste croix volvestre,20303.9,83,STE CROIX VOLVESTRE
ste genevieve des bois,27587.22,188,STE GENEVIEVE DES BOIS
ste mesme,33376.66,35,STE MESME
sucy en brie,31130.78,158,SUCY EN BRIE
suresnes,37605.3,85,SURESNES
survilliers,25118.01,31,SURVILLIERS
tacoignieres,31064.9,44,TACOIGNIERES
tancrou,26885.23,25,TANCROU
taverny,27963.11,145,TAVERNY
tessancourt sur aubette,29364.1,35,TESSANCOURT SUR AUBETTE
themericourt,30709.81,16,THEMERICOURT
thenisy,25795.7,10,THENISY
theuville,25360.23,6,THEUVILLE
thiais,27883.25,94,THIAIS
thieux,24503.9,18,THIEUX
thiverval grignon,33167.99,34,THIVERVAL GRIGNON
thoiry,32078.85,34,THOIRY
thomery,29093.45,69,THOMERY
thorigny sur marne,28832.38,83,THORIGNY SUR MARNE
thoury ferottes,25706.41,31,THOURY FEROTTES
